state_index,episode_id,t_in_episode,task_name,instruction,num_points,action_dim,k,total_variance,weighted_incluster_variance,variance_drop,r2,calinski_harabasz,silhouette,best_k
607,ep000003,61,b'Place the pack of doritos inside the sink',b'Place the pack of doritos inside the sink',750,8,4,0.17603091895001804,0.010513305084410746,0.1655176138656073,0.9402758041194121,3914.9166683664153,0.667779415403339,True
609,ep000003,63,b'Place the pack of doritos inside the sink',b'Place the pack of doritos inside the sink',750,8,5,0.2309105576618094,0.010534240073014694,0.2203763175887947,0.954379565058939,3896.350269826982,0.516692262804818,True
1692,ep000007,460,b'',b'',750,8,4,0.18281683402967028,0.011086433407124577,0.1717304006225457,0.9393576993827313,3851.881368871676,0.5769010072270166,True
1347,ep000007,115,b'',b'',750,8,4,0.18258881462306276,0.011074656620487091,0.17151415800257566,0.9393464673980733,3851.12201833348,0.569039412343832,True
1689,ep000007,457,b'',b'',750,8,4,0.2750153384314766,0.016778661780522328,0.25823667665095423,0.9389900873303365,3827.1737301728704,0.5486145744054637,True
611,ep000003,65,b'Place the pack of doritos inside the sink',b'Place the pack of doritos inside the sink',750,8,4,0.22815761683144983,0.01396765264765151,0.21418996418379832,0.9387806866076707,3813.232314020437,0.578884415108577,True
224,ep000001,58,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.234916463654227,0.014482251171680598,0.2204342124825464,0.9383514848367674,3784.9530565050645,0.5556358000618166,True
1345,ep000007,113,b'',b'',750,8,4,0.18174866976165863,0.011206776720937811,0.17054189304072082,0.9383391540877073,3784.146425459472,0.564807259689319,True
228,ep000001,62,b'Put the candy bar on the left side of the first shelf',b'Put the candy bar on the left side of the first shelf',750,8,4,0.2312915235165345,0.014401820901946942,0.21688970261458757,0.9377330362869204,3744.8902989901103,0.5637394713604607,True
608,ep000003,62,b'Place the pack of doritos inside the sink',b'Place the pack of doritos inside the sink',750,8,4,0.21443238514427182,0.013394711006146035,0.2010376741381258,0.9375341042952352,3732.1722192744,0.5985752073421089,True
1342,ep000007,110,b'',b'',750,8,4,0.1254315764833626,0.007853908572027023,0.11757766791133556,0.9373849170023882,3722.687434647095,0.6603987027578231,True
1697,ep000007,465,b'',b'',750,8,4,0.200816621918065,0.012644788226428947,0.18817183369163606,0.9370331593786687,3700.5018832069586,0.5337974779370175,True
1699,ep000007,467,b'',b'',750,8,4,0.16305581251074,0.01027159117428988,0.15278422133645012,0.9370056729893433,3698.7787378155494,0.6052250221393216,True
3594,ep000014,121,b'',b'',750,8,4,0.2987496920354586,0.019135514318202713,0.2796141777172559,0.935948003200179,3633.5958558244583,0.5308872178020001,True
613,ep000003,67,b'Place the pack of doritos inside the sink',b'Place the pack of doritos inside the sink',750,8,5,0.19521231750315532,0.009533601200423954,0.18567871630273136,0.9511629116319985,3627.449919957407,0.5250057196125684,True
